"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Mar 06 16:06:21 IST 2023","Mon Mar 06 16:06:21 IST 2023","264","","Apply for account opening through online","","","","Capture Application no",""
"broken","Mon Mar 06 16:05:51 IST 2023","Mon Mar 06 16:06:21 IST 2023","29550","","Apply for account opening through online","","","","Fill Open account form smoke",""
